Name,Sustainable,Mercury,Description,In Season,Sources,Explanation
Crabe royal (Autres),False,low,"Large, red, spiky crabs. Critically overfished in Russia, where most imported crabs come from. US-sourced king crab may be OK. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=17, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium rates US king crab as a ""Good Alternative"", but other king crab as ""Avoid"". "
Crabe-araignée,True,?,"Large orange crabs. Prefer pot-caught spider crabs, as they are more sustainable. ",,http://www.fishonline.org/fishfinder?fish=spider+crab,"The MCS is currently evaluating data, but previously rated spider crabs as 2-3 depending on method of capture. The Monterey Bay Aquarium and Greenpeace have no data. "
"Crevette géante tigrée (Bio, certifié ASC ou GlobalGAP)",True,?,"Tiger prawns are large striped prawns. Organically certified farms vastly reduce the environmental damage that may be caused by prawn farming. Zero input farming insulates the farm from the environment, reducing environmental damage.",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=58, http://www.fishonline.org/fishfinder?fish=tiger","The Monterey Bay Aquarium rates imported tiger prawn as ""Avoid"". The MCS rates all wild fished and intensively farmed tiger prawns as 5. However, the MCS rates organic and zero input farmed tiger prawns as 1-2. "
Crevette géante tigrée (Autres Aquacultures),False,?,"Tiger prawns are large striped prawns. Prawn farming may cause: destruction of habitats through conversion into pond systems, nutrient runoff, freshwater lakes being turned into saltwater and the spread of disease to wild prawns. Prawns require a lot of fishmeal that tends to come from unclear sources.",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=58, http://www.fishonline.org/fishfinder?fish=tiger","The Monterey Bay Aquarium rates imported tiger prawn as ""Avoid"". The MCS rates all wild fished and intensively farmed tiger prawns as 5. However, the MCS rates organic and zero input farmed tiger prawns as 1-2. "
Crevette géante tigrée (Prise Sauvage),False,?,Tiger prawns are large striped prawns. Trawl fishing for tiger prawns produces a quarter of the world's by-catch. (Unwanted sea life that is caught and killed alongside the prawns.),,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=58, http://www.fishonline.org/fishfinder?fish=tiger","The Monterey Bay Aquarium rates imported tiger prawn as ""Avoid"". The MCS rates all wild fished and intensively farmed tiger prawns as 5. However, the MCS rates organic and zero input farmed tiger prawns as 1-2. "
Crevette nordique (Alaska et Canada),True,low,Small pink crustaceans. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=58, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists pink shrimp from Alaska as a ""Best Choice"" and Canadian shrimp as a ""Good Alternative"", but advises against pink shrimp from other sources, especially Louisiana and Mexico. "
Crevette nordique (Certifié MSC),True,low,Small pink crustaceans. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=58, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists pink shrimp from Alaska as a ""Best Choice"" and Canadian shrimp as a ""Good Alternative"", but advises against pink shrimp from other sources, especially Louisiana and Mexico. "
Crevette nordique (Autres),False,low,Small pink crustaceans. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=58, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists pink shrimp from Alaska as a ""Best Choice"" and Canadian shrimp as a ""Good Alternative"", but advises against pink shrimp from other sources, especially Louisiana and Mexico. "
Dorade tropicale,True,?,"A large, bright yellow fish with a large back fin. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=32, http://www.fishonline.org/fishfinder?fish=mahi, http://www.nmfs.noaa.gov/fishwatch/species/dolphinfish.htm","The Monterey Bay Aquarium lists mahi mahi from the US as ""Best Choice"" and other non-longline fished mahi mahi as a ""Good Alternative"", except for fish from Costa Rica, Guatemala and Peru. The MCS rates it as 2-3. As a large and badly monitored fish, it is potentially threatened, but in the absence of evidence for this, it is labeled as ""sustainable"". "
Doré jaune,True,high,"The walleye, not to be confused with the walleye pollock, is a fish from the US great lakes. The Environmental Defense Fund has issued a consumption advisory for walleye due to high levels of mercury and PCBs. ",,http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=82,"The Monterey Bay Aquarium rates walleye as a ""Good Alternative"". The MCS and Greenpeace have no data. "
Espadon (Pêche en Harpon),True,high,"Nearly all swordfish is caught by longline, which is a very disruptive method that kills sharks, turtles and sea birds. Swordfish reproduce too slowly to be a sustainable food fish. Using harpoons to catch swordfish avoids the issues of longline fishing and similar methods.",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=68, http://www.fishonline.org/fishfinder?fish=swordfish, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists harpooned Hawaiian and some US swordfish as ""Best Choice"", but other US swordfish as ""Good Alternative"", and other swordfish as ""Avoid"". The MCS lists swordfish as 2-5 depending on source. Swordfish is also on the Greenpeace red list, but they state that Hawaiian, Californian and Oregonian swordfish is well managed and a good alternative. "
Espadon (Autres),False,high,"Nearly all swordfish is caught by longline, which is a very disruptive method that kills sharks, turtles and sea birds. Swordfish reproduce too slowly to be a sustainable food fish. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=68, http://www.fishonline.org/fishfinder?fish=swordfish, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists harpooned Hawaiian and some US swordfish as ""Best Choice"", but other US swordfish as ""Good Alternative"", and other swordfish as ""Avoid"". The MCS lists swordfish as 2-5 depending on source. Swordfish is also on the Greenpeace red list, but they state that Hawaiian, Californian and Oregonian swordfish is well managed and a good alternative. "
Esturgeon / Caviar (Aquaculture),True,?,"Large and slow-growing, sturgeon are a very old kind of fish - so old that they do not have scales. Sturgeon can live to more than 100 years of age and only become sexually mature at 20 years or more. They are harvested for caviar. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=66, http://www.fishonline.org/fishfinder?fish=sturgeon","The Monterey Bay Aquarium rates farmed sturgeon as a ""Best Choice"". The MCS rates farmed sturgeon as 2-3, but wild caught as 5. "
Esturgeon / Caviar (Prise Sauvage),False,?,"Large and slow-growing, sturgeon are a very old kind of fish - so old that they do not have scales. Sturgeon can live to more than 100 years of age and only become sexually mature at 20 years or more. They are harvested for caviar. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=66, http://www.fishonline.org/fishfinder?fish=sturgeon","The Monterey Bay Aquarium rates farmed sturgeon as a ""Best Choice"". The MCS rates farmed sturgeon as 2-3, but wild caught as 5. "
Flet commun,False,low,A kind of flatfish similar to the plaice and dab. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=21, http://www.fishonline.org/fishfinder?fish=flounder, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists flounders as a mixture of Good Alternative and Avoid, while the MCS rates them as a 3. On balance, flounder not known to be specifically sustainable should be avoided. "
Gambas (Aquaculture biologique),True,?,Large pink prawns. Organically certified farms reduce the environmental damage that may be caused by prawn farming.,,http://www.fishonline.org/fishfinder?fish=king,"The MCS rates organically farmed king prawns as 1, and prawns from other sources as 3-5. The Monterey Bay Aquarium and Greenpeace have no data. "
Gambas (Autres Aquacultures),False,?,"Large pink prawns. Prawn farming may cause: destruction of habitats through conversion into pond systems, nutrient runoff, freshwater lakes being turned into saltwater and the spread of disease to wild prawns. Prawns require a lot of fishmeal that tends to come from unclear sources.",,http://www.fishonline.org/fishfinder?fish=king,"The MCS rates organically farmed king prawns as 1, and prawns from other sources as 3-5. The Monterey Bay Aquarium and Greenpeace have no data. "
Gambas (Prise Sauvage),False,?,Large pink prawns. Fished tiger prawns are not environmentally sustainable.,,http://www.fishonline.org/fishfinder?fish=king,"The MCS rates organically farmed king prawns as 1, and prawns from other sources as 3-5. The Monterey Bay Aquarium and Greenpeace have no data. "
Grenadier,False,?,"A long-lived, slow-breeding, deep-sea fish with thin tails. Also called hoki, blue hake or whiptail. Grenadiers only begin breeding at 20 to 40 years. As a result, stocks are very fragile. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=22, http://www.fishonline.org/fishfinder?fish=grenadier, http://www.greenpeace.org/usa/en/campaigns/oceans/seafood/red-fish/","The Monterey Bay Aquarium rates MSC certified grenadier as a good alternative, but the MCS rate it as 5, and it's on the Greenpeace red list. "
Grondin,True,?,"A good alternative to cod, gurnard is currently often treated as by-catch and discarded. ",,http://www.fishonline.org/fishfinder?fish=Gurnard,"The MCS lists three different kinds of gurnard, rating them 3. The Monterey Bay Aquarium and Greenpeace have no data. "
Hareng (Mer du Nord),True,low,A popular oily fish often seen pickled or fried. Fisheries in the North Sea are carefully managed and hence sustainable.,,"http://www.fishonline.org/fishfinder?fish=herring, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The sustainability of herring heavily depends on its source, with the MCS listing 19 different kinds of sources rated between 1-5. North Sea herring appears to be the most reliably sustainable option. Be very careful to ensure correct sourcing. "
Hareng (Autres),False,low,"A popular oily fish often seen pickled or fried. Many herring fisheries, especially in the Baltic and around parts of Scotland and Ireland are in an extremely bad condition, with stocks near-eradicated.",,"http://www.fishonline.org/fishfinder?fish=herring, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The sustainability of herring heavily depends on its source, with the MCS listing 19 different kinds of sources rated between 1-5. North Sea herring appears to be the most reliably sustainable option. Be very careful to ensure correct sourcing. "
Homard (Mexique et Europe),True,high,"Large, large-clawed crustacean. Lobsters can live for at least a hundred years, and there are indications that they may not die of old age at all. Many lobster stocks are inaedequately managed and monitored. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=30, http://www.fishonline.org/fishfinder?fish=lobster, http://www.nmfs.noaa.gov/fishwatch/species/amer_lobster.htm","The Monterey Bay Aquarium rates Mexican lobster as ""Best Choice"" while painting a complex picture of US lobster. The MCS rates European lobster as 1-2. "
Homard (Autres),False,high,"Large, large-clawed crustacean. Lobsters can live for at least a hundred years, and there are indications that they may not die of old age at all. Many lobster stocks are inaedequately managed and monitored. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=30, http://www.fishonline.org/fishfinder?fish=lobster, http://www.nmfs.noaa.gov/fishwatch/species/amer_lobster.htm","The Monterey Bay Aquarium rates Mexican lobster as ""Best Choice"" while painting a complex picture of US lobster. The MCS rates European lobster as 1-2. "
Huître,True,low,"Oyster farms have very little environmental impact. Avoid dredged wild oysters, as their harvesting can seriously damage the seafloor. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=40, http://www.fishonline.org/fishfinder?fish=oyster, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium approves oysters, and the MCS is currently evaluating its data and has no advice. Wild oysters may be problematic due to environmental damage caused by dredging, but most oysters are farmed. FishWatch and Greenpeace have no data. "
"Langouste (Nicaragua, Honduras, Brésil)",False,low,"The Monterey Bay Aquarium states that spiny lobster from Mexico is sustainable, and US and Caribbean lobster is OK, while lobster from Nicaragua, Honduras and Brazil is rated as ""Avoid"". Lobster fisheries in Nicaragua, Honduras and Brazil are plagued with issues of overfishing, catching juveniles, and illegal fishing.",,"http://www.montereybayaquarium.org/cr/SeafoodWatch/web/sfw_factsheet.aspx?gid=10, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm",
Langouste (Autres),True,low,"The Monterey Bay Aquarium states that spiny lobster from Mexico is sustainable, and US and Caribbean lobster is OK, while lobster from Nicaragua, Honduras and Brazil is rated as ""Avoid"". ",,"http://www.montereybayaquarium.org/cr/SeafoodWatch/web/sfw_factsheet.aspx?gid=10, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm",
Lieu jaune/Colin,True,low,"A relative of the cod, it is a good alternative to that fish. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=43, http://www.fishonline.org/fishfinder?fish=pollock, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists all pollock apart from Icelandic pollock as ""Best Choice""/""Good Alternative"". The MCS rates it as 2-3. "
Lieu noir/Colin (Islande),True,?,"A good alternative to cod, recognisable by a distinctive white line running along its side. ",,http://www.fishonline.org/fishfinder?fish=coley,The Marine Conservation Society rates coley as 2-4 depending on capture area. 
Lieu noir/Colin (Autres),False,?,"A good alternative to cod, recognisable by a distinctive white line running along its side. ",,http://www.fishonline.org/fishfinder?fish=coley,The Marine Conservation Society rates coley as 2-4 depending on capture area. 
Limande commune,False,?,A kind of flatfish similar to the plaice and flounder. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=92, http://www.fishonline.org/fishfinder?fish=dab","The Monterey Bay Aquarium lists dab as ""Avoid"", while the MCS rates it at a 2-3. "
Loup de mer (Aquaculture avec le système de recirculation),True,high,"A charismatic fish especially prized in Greece. If farmed properly, Seabass can be very sustainable.",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=117, http://www.fishonline.org/fishfinder?fish=seabass, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists US black seabass caught with traps as a ""Best Choice"", but the MCS rates all seabass as 4-5 with the exception of seabass farmed in the UK with a recirculation system. "
Loup de mer (Autres),False,high,"A charismatic fish especially prized in Greece. Avoid eating seabass caught by trawling, as this is a very damaging form of fishing. Farming seabass is associated with pollution and the spread of disease to wild fish. Seabass are carnivorous fish and have to be fed on wild-caught fish that is not sourced from a sustainable supply.",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=117, http://www.fishonline.org/fishfinder?fish=seabass, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists US black seabass caught with traps as a ""Best Choice"", but the MCS rates all seabass as 4-5 with the exception of seabass farmed in the UK with a recirculation system. "
Maquereau,True,low,A dark-fleshed fish often found smoked or canned. Stocks are generally OK but avoid Mediterranean mackerel. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=31, http://www.fishonline.org/fishfinder?fish=mackerel, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists mackerel as ""Best Choice"" or ""Good Alternative"". The MCS is currently evaluating its data. "
Marlin,False,high,A large and very fast predatory fish with a large back fin. Stocks are in very poor condition and very badly managed. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=33, http://www.fishonline.org/fishfinder?fish=marlin, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium rates most marlin as ""Avoid"", with the exception of Hawaiian marlin, which is rates as a ""Good Alternative"". The MCS rates all marlin as 4-5. "
Morue,False,low,"A very popular mild-flavoured white fish that is sadly very much overfished. Try pollack, coley or gurnard instead. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=14, http://www.fishonline.org/fishfinder?fish=cod, http://www.greenpeace.org/usa/en/campaigns/oceans/seafood/red-fish/, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","Data on cod is very contradictory, and there is no clear and easy rule to determine what cod is sustainable. "
Moules,True,?,"Farmed mussels do not require feeding or chemical treatment and hence have a very low environmental impact. Wild mussels are generally sustainable, but avoid ones harvested by dredging as this damages the seafloor. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=36, http://www.fishonline.org/fishfinder?fish=mussels","The MCS and Monterey Bay Aquarium agree that farmed mussels are very sustainable. According to the MCS, farmed mussels are rated 1 while others are under evaluation. "
Omble chevalier,True,?,A freshwater fish related to salmon and trout. Char are farmed in land-based systems that minimize environmental impact and require relatively little feed. ,,http://www.fishonline.org/fishfinder?fish=char,The MCS approves of eating both farmed and wild-caught arctic char. The Monterey Bay Aquarium and Greenpeace have no data. 
Palourde (Ocean Quahog),False,low,"Clams are generally sustainable, and stock levels are good. Greenpeace quotes destructive fishing methods, habitat impact, and poor fishery management as reasons for putting the Ocean Quahog on the red list.",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=12, http://www.fishonline.org/fishfinder?fish=clam, http://www.greenpeace.org/usa/en/campaigns/oceans/seafood/red-fish/, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium rates all clams as Best Choice or Good Alternative, but Greenpeace quotes destructive fishing methods, habitat impact, and poor fishery management as reasons for putting the Ocean Quahog on the red list. The MCS is assessing its information and has no data. "
Palourde (Autres),True,low,"Clams are generally sustainable, and stock levels are good. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=12, http://www.fishonline.org/fishfinder?fish=clam, http://www.greenpeace.org/usa/en/campaigns/oceans/seafood/red-fish/, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium rates all clams as Best Choice or Good Alternative, but Greenpeace quotes destructive fishing methods, habitat impact, and poor fishery management as reasons for putting the Ocean Quahog on the red list. The MCS is assessing its information and has no data. "
Pangasius (Autres),False,?,"A mild-flavoured kind of catfish commonly farmed in Asia. Prefer ASC or GlobalGap-certified fish, as other farmed Pangasius can badly impact the environment. ",,http://www.fishonline.org/fishfinder?fish=pangasius,"The MCS rates ASC certified pangasius as 2 and GlobalGAP certified fish as 3. No information is given on other pangasius, implying it is not sustainable. "
Perchaude,True,high,The yellow perch is a predatory fish from the US great lakes. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=41, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium rates yellow perch as a ""Best Choice""/""Good Alternative"". The MCS Greenpeace have no data. "
Perche commune,True,?,A popular food and angling fish found in Europe and Asia. Considered an invasive species in Australia. ,,http://www.iucnredlist.org/apps/redlist/details/16580/0,"The Monterey Bay Aquarium, Greenpeace, the MCS, and FishWatch have no data. The IUCN rates it as ""Least Concern"". "
Plie,False,low,A very popular and very overfished flatfish. ,,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=42, http://www.fishonline.org/fishfinder?fish=plaice, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium lists plaice as a ""Good Alternative"". The MCS rates plaice as 3-5. "
Poisson montre,False,high,"A large sedentary fish living in deep waters. It is slow-growing and late to mature, and not sustainable as a food source. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=39, http://www.greenpeace.org/usa/en/campaigns/oceans/seafood/red-fish/, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm","The Monterey Bay Aquarium rates orange roughy as ""Avoid"", and it's on the Greenpeace red list. The MCS and FishWatch and have no data. "
Poisson-chat,True,low,"A very popular farmed fish in the US, their vegetarian diet makes them low-impact. ",,"http://www.seafoodwatch.org/cr/seafoodwatch/web/sfw_factsheet.aspx?gid=9, http://www.fishonline.org/fishfinder?fish=catfish, http://www.fda.gov/food/foodborneillnesscontaminants/metals/ucm115644.htm",The Monterey Bay Aquarium lists US farmed catfish as a Best Choice and other catfish as a good alternative. The MCS rates catfish as a 2-3. 
